"";"dada2_input";"filtered";"dada_Fw";"dada_Rv";"merged";"nonchim";"final_perc_reads_retained"
"LOM_70";4510;4115;3401;4072;3207;3207;71,1
"LOM_71";6209;5792;4751;5656;4291;4291;69,1
"LOM_72";4715;4443;3850;4371;3557;3557;75,4
"LOM_73";7729;6950;6261;6927;5867;5796;75
"LOM_74";6350;5693;5116;5561;4652;4624;72,8
"LOM_75";5960;5550;4542;5496;4148;4115;69
"LOM_76";7678;7187;5248;7061;4788;4788;62,4
"LOM_77";132;120;62;61;61;61;46,2
"LOM_78";5;3;1;1;0;0;0
"LOM_79";15;14;9;9;9;9;60
"LOM_80";6598;6245;5677;6204;5089;5044;76,4
"LOM_81";4857;4535;3433;4479;3133;3118;64,2
"LOM_82";6981;6446;5668;6363;5288;5288;75,7
"LOM_83";4506;4074;3738;3969;3161;3161;70,2
"LOM_84";10386;9670;9358;9608;8853;8735;84,1
